GEODB_OID,OBJECTID,DBLINK,MET_INPUT,MET_TECH,MET_TECH_R,COGO,COGO_RESOL,INCIDENT,AIR_SPACE,AIR_SPACE_,SHAPE_STAR,SHAPE_STLE,SHAPE_ST00,SHAPE_ST01,XCOORD,YCOORD
17329.000000000000000,17329.000000000000000,4-3412-25,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,729.511311999999975,127.282782999999995,729.511311999999975,127.282782999999995,-123.104317,49.330218
19130.000000000000000,19130.000000000000000,55-6659-5,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,702.940387999999984,110.942206999999996,702.940387999999984,110.942206999999996,-123.104032,49.337643
19296.000000000000000,19296.000000000000000,5AW-4679-26,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,622.691742999999974,122.761488999999997,622.691742999999974,122.761488999999997,-123.037148,49.356520
19337.000000000000000,19337.000000000000000,6-1194-13,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,18782.988990999998350,585.352144999999950,18782.988990999998350,585.352144999999950,-122.956598,49.331621
19489.000000000000000,19489.000000000000000,6-2876-B,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,530.994027999999958,101.980616999999995,530.994027999999958,101.980616999999995,-123.054308,49.319050
19504.000000000000000,19504.000000000000000,6-3112-16,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,1082.607481000000007,136.125233000000009,1082.607481000000007,136.125233000000009,-122.959862,49.339998
19757.000000000000000,19757.000000000000000,6-8864-A,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,838.793196999999964,121.933166999999997,838.793196999999964,121.933166999999997,-123.064511,49.340403
20085.000000000000000,20085.000000000000000,7-1194-15C,APRIL 2005,T WEBSTER,T WEBSTER,N,NO,,N,NO,38.236933000000001,27.625641999999999,38.236933000000001,27.625641999999999,-122.949734,49.329779
20239.000000000000000,20239.000000000000000,7-2886-5,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,502.850689999999986,95.144042999999996,502.850689999999986,95.144042999999996,-123.025973,49.322486
20896.000000000000000,20896.000000000000000,8-2872-D,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,891.090685000000008,128.754943999999995,891.090685000000008,128.754943999999995,-123.034673,49.338542
20951.000000000000000,20951.000000000000000,8-3657-17S,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,1391.800592000000051,149.749025999999986,1391.800592000000051,149.749025999999986,-122.971041,49.334218
22074.000000000000000,22074.000000000000000,9-9070-7,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,1033.070676000000049,139.961181000000010,1033.070676000000049,139.961181000000010,-123.036214,49.324723
22818.000000000000000,22818.000000000000000,B-1349-8,OCTOBER 2008,A LAU,,Y,YES,PC0300,N,NO,1315.824348999999984,170.523021000000000,1315.824348999999984,170.523021000000000,-122.880702,49.380539
23190.000000000000000,23190.000000000000000,B-9172-B,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,803.425267999999960,118.478992000000005,803.425267999999960,118.478992000000005,-123.087260,49.341806
23497.000000000000000,23497.000000000000000,C-7316-55,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,1093.384250000000065,146.599636000000004,1093.384250000000065,146.599636000000004,-122.951304,49.309746
25073.000000000000000,25073.000000000000000,LMP16145-69,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,1859.524601000000075,175.421052000000003,1859.524601000000075,175.421052000000003,-123.047257,49.346826
25075.000000000000000,25075.000000000000000,LMP16145-70,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,1586.445535999999947,166.295778000000013,1586.445535999999947,166.295778000000013,-123.046921,49.347092
25458.000000000000000,25458.000000000000000,LMP5900-5,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,744.826093000000014,114.780448000000007,744.826093000000014,114.780448000000007,-123.072037,49.345726
25991.000000000000000,25991.000000000000000,VR1678-18,NOVEMBER 2004,T WEBSTER,T WEBSTER,N,NO,,N,NO,880.375440000000026,188.829781999999994,880.375440000000026,188.829781999999994,-122.969019,49.315306
26575.000000000000000,26575.000000000000000,6-3267-10,MARCH 2014,A MARUT,A MARUT,Y,YES,PC0453,N,NO,382.041863999999975,96.668177000000000,382.041863999999975,96.668177000000000,-122.973133,49.316121
